destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y,destination_enc,passanger_enc,weather_enc,time_enc,coupon_enc,expiration_enc,gender_enc,age_enc,maritalStatus_enc,education_enc,occupation_enc,income_enc,Bar_num,CoffeeHouse_num,CarryAway_num,RestaurantLessThan20_num,Restaurant20To50_num
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,-1,6,2
Home,Alone,Sunny,55,6PM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,-1,6,2
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,-1,6,2
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,-1,6,2
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,1,0,1,1,2,0,0,3,1,1,0,0,0,0,0,0,0,0,-1,6,2
Work,Alone,Sunny,55,7AM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,1,0,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,-1,6,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,2,0,0,3,4,0,0,0,0,0,0,0,0,0,-1,6,2
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,1,0,1,2,0,0,3,2,1,0,0,0,0,0,0,0,0,-1,6,2
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,-1,6,2
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,never,never,missing,4~8,1~3,1,1,0,0,1,1,2,0,0,3,1,1,0,0,0,0,0,0,0,0,-1,6,2
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0,1,1,0,1,0,1,3,0,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,0,1,0,0,1,0,1,2,1,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0,1,0,0,1,0,2,1,1,1,0,1,1,1,1,0,1,6,6,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,0,1,1,0,1,0,2,0,1,1,0,1,1,1,1,0,1,6,6,1
